cell	method	threshold	true_scenario	replicates	total_proteins	selected_proteins	mean_replicate_selection_rate	pooled_selection_rate
broad_balanced	balanced_BY	0.01	M2	200	11887	2	0.000177798	0.000168251
broad_balanced	balanced_BY	0.01	M3	200	8012	0	0	0
broad_balanced	balanced_BY	0.01	M4	200	11044	1	9.43396e-05	9.05469e-05
broad_balanced	balanced_BY	0.01	M5	200	13957	2	0.000141851	0.000143297
broad_balanced	balanced_BY	0.05	M0	200	45095	0	0	0
broad_balanced	balanced_BY	0.05	M1	200	10005	7954	0.791681	0.795002
broad_balanced	balanced_BY	0.05	M2	200	11887	16	0.00138148	0.00134601
broad_balanced	balanced_BY	0.05	M3	200	8012	0	0	0
broad_balanced	balanced_BY	0.05	M4	200	11044	18	0.00163509	0.00162984
broad_balanced	balanced_BY	0.05	M5	200	13957	10	0.000691158	0.000716486
broad_balanced	balanced_BY	0.1	M0	200	45095	0	0	0
broad_balanced	balanced_BY	0.1	M1	200	10005	8908	0.888608	0.890355
broad_balanced	balanced_BY	0.1	M2	200	11887	33	0.00283388	0.00277614
broad_balanced	balanced_BY	0.1	M3	200	8012	0	0	0
broad_balanced	balanced_BY	0.1	M4	200	11044	39	0.00341716	0.00353133
broad_balanced	balanced_BY	0.1	M5	200	13957	35	0.00245579	0.0025077
broad_balanced	balanced_eBH	0.01	M0	200	45095	0	0	0
broad_balanced	balanced_eBH	0.01	M1	200	10005	27	0.00279519	0.00269865
broad_balanced	balanced_eBH	0.01	M2	200	11887	0	0	0
broad_balanced	balanced_eBH	0.01	M3	200	8012	0	0	0
broad_balanced	balanced_eBH	0.01	M4	200	11044	0	0	0
broad_balanced	balanced_eBH	0.01	M5	200	13957	0	0	0
broad_balanced	balanced_eBH	0.05	M0	200	45095	0	0	0
